Geneid	bam/Shape02.bam
AT1G01010	20
AT1G01020	62
AT1G03987	0
AT1G01030	8
AT1G01040	120
AT1G03993	0
AT1G01046	0
AT1G01050	163
AT1G03997	0
AT1G01060	4
AT1G01070	4
AT1G04003	0
AT1G01080	120
AT1G01090	324
AT1G01100	250
AT1G01110	8
AT1G01120	326
AT1G01130	30
AT1G01140	311
AT1G01150	0
AT1G01160	74
AT1G04007	0
AT1G01170	41
AT1G04013	1
AT1G01180	16
AT1G01183	0
AT1G01190	12
AT1G01200	2
AT1G01210	10
AT1G04017	0
AT1G01220	63
AT1G04023	0
AT1G01225	8
AT1G01230	59
AT1G01240	34
AT1G01250	6
AT1G01260	72
AT1G01270	0
AT1G01280	0
AT1G01290	48
AT1G01300	160
AT1G01305	6
AT1G01310	55
AT1G01320	1727
AT1G01335	0
AT1G01340	62
AT1G01350	74
AT1G01355	0
AT1G01360	18
AT1G01370	2
AT1G01380	2
AT1G01390	1
AT1G01400	0
AT1G01410	2
AT1G01420	20
AT1G01430	132
AT1G01440	87
AT1G01448	23
AT1G01450	0
AT1G01453	5
AT1G01460	8
AT1G01470	874
AT1G01480	10
AT1G01490	206
AT1G01500	42
AT1G01510	94
AT1G01520	6
AT1G01530	0
AT1G01540	140
AT1G01550	1024
AT1G01560	167
AT1G01570	4
AT1G01580	4
AT1G01590	0
AT1G01600	16
AT1G01610	154
AT1G01620	986
AT1G01630	142
AT1G01640	28
AT1G01650	246
AT1G04027	7
AT1G01660	6
AT1G01670	12
AT1G01680	0
AT1G01690	12
AT1G01695	0
AT1G04033	0
AT1G04037	0
AT1G01700	12
AT1G01710	110
AT1G01715	4
AT1G04043	0
AT1G01720	432
AT1G01725	7
AT1G04047	31
AT1G01730	124
AT1G01740	139
AT1G01750	1
AT1G04053	0
AT1G01760	5
AT1G04057	0
AT1G01770	92
AT1G01780	52
AT1G01790	328
AT1G04063	1
AT1G01800	151
AT1G01810	7
AT1G01820	269
AT1G01830	38
AT1G04067	0
AT1G01840	0
AT1G01860	25
AT1G04073	0
AT1G01870	0
AT1G01880	2
AT1G01890	0
AT1G01900	14
AT1G04077	0
AT1G01910	144
AT1G04083	0
AT1G01920	56
AT1G01930	56
AT1G01940	49
AT1G01950	118
AT1G01960	256
AT1G01970	78
AT1G01980	4
AT1G01990	48
AT1G02000	18
AT1G02010	28
AT1G02020	58
AT1G02030	0
AT1G02040	0
AT1G02050	22
AT1G02060	20
AT1G02065	2
AT1G02067	0
AT1G02070	0
AT1G02080	426
AT1G02090	112
AT1G02100	127
AT1G02110	67
AT1G02120	385
AT1G02130	106
AT1G04087	0
AT1G02140	288
AT1G02145	64
AT1G02150	176
AT1G02160	32
AT1G02170	160
AT1G02180	12
AT1G02190	16
AT1G02205	22
AT1G04093	0
AT1G02210	0
AT1G02220	10
AT1G02230	2
AT1G02250	8
AT1G02260	32
AT1G02270	84
AT1G02280	134
AT1G02290	20
AT1G02300	55
AT1G02305	199
AT1G04097	0
AT1G02310	8
AT1G04103	0
AT1G02320	0
AT1G02330	39
AT1G02335	35
AT1G02340	54
AT1G02350	14
AT1G02360	18
AT1G02370	30
AT1G02380	1
AT1G02390	14
AT1G02400	724
AT1G02405	0
AT1G02410	64
AT1G02420	4
AT1G04117	0
AT1G02430	3
AT1G04123	0
AT1G02440	12
AT1G02450	0
AT1G02460	0
AT1G02470	6
AT1G02475	142
AT1G02480	0
AT1G02490	0
AT1G02500	914
AT1G02510	0
AT1G02520	36
AT1G02530	0
AT1G02540	0
AT1G02550	0
AT1G02560	614
AT1G02570	4
AT1G02575	0
AT1G02580	0
AT1G04127	0
AT1G02590	0
AT1G02600	0
AT1G02610	10
AT1G02620	14
AT1G04133	0
AT1G04137	0
AT1G02630	0
AT1G02640	38
AT1G02650	8
AT1G02660	316
AT1G02670	14
AT1G02680	34
AT1G04143	2
AT1G02690	50
AT1G02700	4
AT1G02705	2
AT1G02710	0
AT1G02720	26
AT1G02730	62
AT1G02740	24
AT1G02750	60
AT1G02760	0
AT1G02770	10
AT1G02780	1204
AT1G02790	0
AT1G02800	0
AT1G02810	24
AT1G02813	0
AT1G02816	20
AT1G02820	35
AT1G02830	0
AT1G02840	372
AT1G02850	164
AT1G02860	84
AT1G04147	0
AT1G02870	58
AT1G04153	0
AT1G02880	94
AT1G02890	366
AT1G02900	54
AT1G02910	132
AT1G02920	351
AT1G02930	550
AT1G02940	0
AT1G02950	9
AT1G02952	0
AT1G02960	44
AT1G02965	0
AT1G02970	2
AT1G02980	3
AT1G02990	80
AT1G03000	72
AT1G03010	10
AT1G03020	0
AT1G03030	55
AT1G03040	112
AT1G03050	2
AT1G03055	6
AT1G03060	222
AT1G03070	12
AT1G03080	266
AT1G03090	413
AT1G04157	0
AT1G03100	13
AT1G04163	0
AT1G03103	2
AT1G03106	2
AT1G03110	41
AT1G03120	4
AT1G03130	320
AT1G03140	118
AT1G03150	52
AT1G04167	0
AT1G03160	136
AT1G03165	2
AT1G04173	0
AT1G03170	27
AT1G03180	2
AT1G03190	32
AT1G04177	0
AT1G03200	5
AT1G03210	37
AT1G03220	477
AT1G03230	76
AT1G03240	0
AT1G03250	90
AT1G03260	40
AT1G03270	2
AT1G03280	123
AT1G03290	108
AT1G03300	0
AT1G03310	96
AT1G03320	0
AT1G03325	0
AT1G03330	52
AT1G03340	0
AT1G03350	132
AT1G03360	40
AT1G03365	62
AT1G03370	238
AT1G03380	96
AT1G03390	8
AT1G03395	0
AT1G03400	48
AT1G03410	15
AT1G04183	0
AT1G03430	50
AT1G03440	24
AT1G03445	2
AT1G03457	32
AT1G03470	42
AT1G03475	348
AT1G03490	0
AT1G03495	29
AT1G04187	0
AT1G04193	1
AT1G03502	0
AT1G03506	0
AT1G04197	3
AT1G03510	6
AT1G03515	0
AT1G03520	38
AT1G03530	68
AT1G03540	8
AT1G03550	17
AT1G03545	2
AT1G03560	22
AT1G03570	0
AT1G03590	97
AT1G03600	302
AT1G03610	80
AT1G03620	0
AT1G03630	180
AT1G03640	0
AT1G03650	8
AT1G03660	4
AT1G04203	0
AT1G03670	0
AT1G03680	462
AT1G03687	18
AT1G03700	0
AT1G03710	0
AT1G03720	0
AT1G04207	0
AT1G03730	60
AT1G03740	625
AT1G04213	0
AT1G03743	0
AT1G03746	0
AT1G03750	27
AT1G03760	40
AT1G03770	32
AT1G03780	22
AT1G03790	2
AT1G03800	2
AT1G03810	0
AT1G03820	2
AT1G03830	46
AT1G03840	2
AT1G03850	18
AT1G03860	158
AT1G03870	450
AT1G03880	0
AT1G03890	0
AT1G03900	209
AT1G03905	34
AT1G03910	188
AT1G03920	26
AT1G03930	76
AT1G04217	0
AT1G03935	0
AT1G04223	0
AT1G03940	22
AT1G04227	0
AT1G03950	36
AT1G03960	58
AT1G03970	54
AT1G04233	0
AT1G03980	8
AT1G03982	9
AT1G03990	54
AT1G04000	41
AT1G04010	40
AT1G04020	12
AT1G04030	27
AT1G04040	41
AT1G04237	0
AT1G04050	16
AT1G04070	12
AT1G04080	424
AT1G04090	20
AT1G04100	2
AT1G04105	0
AT1G04110	30
AT1G04120	204
AT1G04243	0
AT1G04130	13
AT1G04140	386
AT1G04150	0
AT1G04160	28
AT1G04170	306
AT1G04180	2
AT1G04190	82
AT1G04200	164
AT1G04210	206
AT1G04220	5
AT1G04247	4
AT1G04230	54
AT1G04240	25
AT1G04253	0
AT1G04250	100
AT1G04260	37
AT1G04270	440
AT1G04280	84
AT1G04290	0
AT1G04295	0
AT1G04300	335
AT1G04310	22
AT1G04320	0
AT1G04330	2
AT1G04340	48
AT1G04350	146
AT1G04360	4
AT1G04370	2
AT1G04380	6
AT1G04257	2
AT1G04390	24
AT1G04400	450
AT1G04410	1522
AT1G04420	158
AT1G04425	6
AT1G04430	348
AT1G04440	260
AT1G04445	6
AT1G04450	0
AT1G04455	0
AT1G04470	2
AT1G04263	0
AT1G04480	200
AT1G04267	0
AT1G04273	0
AT1G04277	0
AT1G04490	2
AT1G04500	0
AT1G04510	188
AT1G04520	12
AT1G04530	100
AT1G04540	8
AT1G04550	44
AT1G04555	6
AT1G04560	0
AT1G04570	2
AT1G04580	4
AT1G04590	46
AT1G04600	0
AT1G04610	0
AT1G04620	130
AT1G04625	0
AT1G04630	52
AT1G04635	2
AT1G04640	94
AT1G04645	0
AT1G04650	2
AT1G04283	0
AT1G04660	2
AT1G04670	0
AT1G04680	102
AT1G04690	236
AT1G04700	18
AT1G04710	56
AT1G04720	0
AT1G04730	14
AT1G04750	198
AT1G04287	0
AT1G04760	4
AT1G04770	8
AT1G04778	2
AT1G04780	220
AT1G04790	60
AT1G04800	76
AT1G04810	244
AT1G04820	876
AT1G04830	54
AT1G04840	28
AT1G04850	288
AT1G04860	150
AT1G04870	82
AT1G04880	2
AT1G04890	4
AT1G04293	0
AT1G04895	0
AT1G04900	35
AT1G04297	0
AT1G04910	60
AT1G04303	0
AT1G04920	10
AT1G04930	2
AT1G04945	44
AT1G04940	1
AT1G04950	84
AT1G04960	72
AT1G04970	112
AT1G04980	32
AT1G04985	115
AT1G04990	80
AT1G05000	72
AT1G05005	0
AT1G04307	0
AT1G05010	1738
AT1G05020	22
AT1G05030	24
AT1G04313	0
AT1G05035	0
AT1G04323	0
AT1G05040	2
AT1G05055	32
AT1G05060	106
AT1G05065	2
AT1G05070	78
AT1G05080	0
AT1G05085	0
AT1G04327	0
AT1G04333	0
AT1G05087	2
AT1G05090	0
AT1G05100	35
AT1G05120	138
AT1G05136	3
AT1G05140	68
AT1G05150	52
AT1G05160	16
AT1G05170	20
AT1G04337	0
AT1G05180	150
AT1G05190	742
AT1G05200	71
AT1G04343	0
AT1G05205	5
AT1G04347	0
AT1G05210	6
AT1G05220	0
AT1G04353	0
AT1G05230	40
AT1G05240	0
AT1G04357	0
AT1G04363	0
AT1G04367	0
AT1G05250	0
AT1G05260	230
AT1G05270	140
AT1G05280	4
AT1G04373	0
AT1G05290	0
AT1G05291	0
AT1G04377	0
AT1G04383	0
AT1G04387	0
AT1G05300	14
AT1G05310	2
AT1G05320	78
AT1G05330	4
AT1G05340	220
AT1G05350	82
AT1G05360	28
AT1G05370	2
AT1G05380	174
AT1G05385	13
AT1G05390	0
AT1G05400	6
AT1G05410	54
AT1G05420	0
AT1G05430	54
AT1G05440	0
AT1G05450	2
AT1G05460	44
AT1G05470	18
AT1G05490	4
AT1G05500	116
AT1G05510	4
AT1G05520	118
AT1G05530	0
AT1G05540	0
AT1G05550	0
AT1G05562	0
AT1G05560	0
AT1G05570	216
AT1G04393	0
AT1G04397	3
AT1G05575	72
AT1G05577	6
AT1G05580	0
AT1G05590	30
AT1G05600	8
AT1G05610	0
AT1G05615	0
AT1G05620	44
AT1G05630	28
AT1G05640	10
AT1G05650	2
AT1G04403	0
AT1G05660	8
AT1G05670	626
AT1G05675	433
AT1G05680	144
AT1G05690	8
AT1G05700	1
AT1G04407	0
AT1G05710	12
AT1G05720	6
AT1G04413	0
AT1G05730	2
AT1G04417	0
AT1G05740	0
AT1G05750	4
AT1G05760	0
AT1G05770	10
AT1G05780	8
AT1G04423	1
AT1G05783	0
AT1G04427	0
AT1G05785	22
