Geneid COAD1 COAD2 COAD3 COAD4 COAD5 COAD6 COAD7 COAD8 COAD9 COAD10 COAD11 COAD12 COAD13 COAD14 COAD15 COAD16 COAD17 COAD18 COAD19 COAD20 COAD21 COAD22 COAD23 COAD24 COAD25 COAD26 COAD27 COAD28 COAD29 COAD30 COAD31 COAD32 COAD33 COAD34 COAD35 COAD36 COAD37 COAD38 COAD39 COAD40 COAD41 COAD42 COAD43 COAD44 COAD45 COAD46 COAD47 COAD48 COAD49 COAD50 ESCA1 ESCA2 ESCA3 ESCA4 ESCA5 ESCA6 ESCA7 ESCA8 ESCA9 ESCA10 ESCA11 ESCA12 ESCA13 ESCA14 ESCA15 ESCA16 ESCA17 ESCA18 ESCA19 ESCA20 ESCA21 ESCA22 ESCA23 ESCA24 ESCA25 ESCA26 ESCA27 ESCA28 ESCA29 ESCA30 ESCA31 ESCA32 ESCA33 ESCA34 ESCA35 ESCA36 ESCA37 ESCA38 ESCA39 ESCA40 ESCA41 ESCA42 ESCA43 ESCA44 ESCA45 ESCA46 ESCA47 ESCA48 ESCA49 ESCA50 READ1 READ2 READ3 READ4 READ5 READ6 READ7 READ8 READ9 READ10 READ11 READ12 READ13 READ14 READ15 READ16 READ17 READ18 READ19 READ20 READ21 READ22 READ23 READ24 READ25 READ26 READ27 READ28 READ29 READ30 READ31 READ32 READ33 READ34 READ35 READ36 READ37 READ38 READ39 READ40 READ41 READ42 READ43 READ44 READ45 READ46 READ47 READ48 READ49 READ50
1 ENSG00000002933.9 7368 910 866 2414 2005 10729 10416 6835 8773 6760 4126 13795 10025 17149 1229 4958 1507 7013 2040 8848 641 14819 10547 19937 1452 14964 4254 5944 1556 30350 17156 1095 1667 2763 1636 9389 9297 10886 5792 1174 9191 11070 9744 8304 4738 7068 3168 4535 6567 5240 7336 24822 4602 3194 2779 238 858 571 512 3973 1097 3731 1696 8718 877 543 7414 741 5083 492 11281 1138 11561 6340 260 436 15820 754 1827 25339 428 3977 13508 9730 10762 6642 11876 3389 10016 804 7961 1176 29583 1432 4964 9397 23627 5059 12091 11642 6932 8246 5533 4536 7563 4640 9029 9298 4560 4063 11395 5954 1112 7440 6422 10240 15319 12300 21481 4111 4005 2656 4736 4287 2484 1927 12728 8144 2440 3819 12421 9797 4460 9347 8382 7771 3058 3299 3725 8796 3762 33551 12775 8640 3549 9267 4450 17746 21380 2993
2 ENSG00000004776.13 744 16 35 7 25 46 31 12 4279 22 68 304 87 1935 27 4 58 97 40 67 16 8 49 158 24 19 123 17 273 308 58 2 17 495 102 30 209 110 185 120 159 146 142 17 52 43 226 66 387 23 952 449 26 2427 135 121 708 460 203 4534 1858 298 1059 2544 1387 103 129 101 82 114 109 232 189 4642 912 640 108 116 79 38 151 182 708 156 391 151 138 5508 3439 75 110 113 382 216 458 1534 46 36 2323 31 1562 2356 265 76 61 75 62 31 29 40 102 86 72 73 91 26 843 47 121 26 15 44 54 20 44 80 31 356 163 131 382 364 141 197 1059 94 66 33 37 124 58 117 522 202 61 43 145 105 217 6
3 ENSG00000004777.18 384 255 61 329 129 164 194 126 492 289 330 399 217 916 118 68 94 380 31 261 226 21 359 578 152 141 231 75 184 142 250 35 84 77 377 107 219 125 83 218 190 228 336 140 101 177 275 117 134 228 540 5428 485 1201 546 1040 865 2398 1371 1878 814 577 2344 627 809 493 1002 725 1776 555 1802 1262 1882 867 505 456 465 296 1033 764 2309 1189 1261 1368 1329 1317 1254 643 637 207 326 398 1148 1337 1403 1078 755 1196 707 601 359 206 343 195 185 94 88 100 528 318 749 159 81 269 186 129 757 244 820 363 143 102 201 53 230 79 201 194 307 403 294 554 286 446 127 621 168 386 190 264 184 837 89 228 188 164 80 792 484 255
4 ENSG00000004799.8 255 109 51 51 451 273 172 855 3288 131 190 3499 149 3576 41 414 74 429 74 190 277 121 1395 2457 168 1369 46 338 193 439 614 73 188 80 49 59 421 426 363 237 397 363 481 158 151 383 157 107 416 17 1728 3151 435 7836 4813 123685 1630 221 142 22195 3125 3989 3406 2722 453 236 1985 154 425 24 1102 1453 3134 10638 107 464 3179 592 10531 380 918 8014 3277 12113 7352 2440 7491 7981 1955 223 2841 241 127 1123 7143 3826 33329 617 3781 642 4550 5807 713 230 741 235 341 379 1245 644 164 391 98 274 295 266 606 563 857 480 236 41 276 131 230 238 355 421 86 69 143 2423 879 132 66 134 29 57 62 342 254 1418 130 326 189 217 211 374 962 79
5 ENSG00000005102.14 96 65 15 2 126 11 18 36 538 46 77 257 20 328 62 44 17 55 19 110 57 56 115 96 56 25 21 32 32 106 34 6 55 27 14 31 70 15 74 94 44 34 75 13 53 27 40 7 119 41 207 112 150 68 392 238 196 97 76 439 177 9 869 563 215 170 47 32 38 2 65 197 433 839 33 206 74 29 90 55 140 147 143 72 85 158 115 270 25 4 290 1244 24 30 156 473 70 27 343 61 173 470 39 32 132 98 12 16 104 42 90 39 60 54 32 32 57 29 190 37 43 17 22 35 34 69 21 99 35 9 76 173 54 42 80 46 60 35 29 37 59 117 34 52 38 51 90 85 98 20
6 ENSG00000005889.15 467 769 607 224 4839 482 604 4613 1633 684 919 2473 276 1299 473 312 150 454 158 834 1199 582 1193 1467 707 512 182 595 242 878 865 233 840 168 358 251 430 262 401 844 547 847 492 343 319 720 578 155 1000 238 5205 4707 1556 2893 2017 4283 4363 6223 2974 4487 3408 1762 4451 3022 1941 4337 1611 5126 3987 1310 6834 3126 1988 4557 2997 2258 3841 1962 3613 2905 9240 4223 3270 7625 4024 5695 5410 2149 2670 2401 2423 6228 2724 3113 3810 4397 3238 2048 4618 2709 1977 1574 705 595 890 411 414 1286 1419 1178 1972 937 592 359 476 389 396 1477 1648 633 370 294 352 370 630 1054 346 476 269 121 233 2459 1567 265 145 309 179 227 302 461 506 1858 576 715 490 263 579 2223 2543 808
7 ENSG00000008128.23 66 82 43 4 282 45 50 312 143 107 215 792 76 565 8 57 37 104 12 131 77 7 231 464 223 27 101 75 96 114 129 18 49 60 164 51 65 24 28 51 66 58 209 98 73 66 149 41 101 162 273 1312 374 314 341 634 140 363 156 291 280 432 324 219 471 243 221 190 121 152 727 256 277 315 100 139 292 232 389 466 656 729 472 351 684 384 492 176 162 130 214 178 144 1854 306 379 470 151 247 342 186 125 92 129 141 61 104 319 223 402 458 60 20 54 43 81 104 294 421 90 104 60 58 38 75 33 136 73 142 163 61 418 294 134 60 102 31 94 73 63 66 622 63 49 64 68 43 310 319 149
8 ENSG00000008952.17 1718 1110 1500 455 3576 2626 2278 3762 7806 4038 7191 6879 1308 7036 1579 1827 512 1293 946 4870 4108 1096 4867 4888 7681 2590 363 1512 447 5061 3165 419 1724 315 319 1157 1930 2788 2450 3254 2163 2211 1083 1564 1665 1768 1873 557 1667 634 9497 20667 86898 19041 23554 32635 11454 24131 21298 37410 9205 14691 14374 9336 14630 22192 12058 6833 15271 5531 17678 10952 22382 18572 11123 5100 32470 19356 13956 7351 12840 20399 24500 31452 17286 18798 7119 6358 8737 7447 6526 13517 5475 22999 41306 19704 11646 6427 33754 16057 6610 6952 2403 1730 6129 2640 2805 4310 3665 6690 5598 2240 2669 1422 1357 1440 1504 7453 6724 3207 1818 1398 1949 1069 1504 1921 2110 1558 356 302 848 7133 5134 552 455 408 294 466 1241 1812 1514 4860 1387 1796 1451 1321 2207 6391 6299 2324
9 ENSG00000009790.15 29 122 59 6 238 65 96 108 496 35 398 1942 18 1374 54 64 34 84 19 191 41 45 127 102 44 47 16 67 48 265 126 6 196 4 10 74 89 61 34 85 128 23 60 74 27 53 67 19 44 157 80 357 195 53 402 65 751 134 61 687 306 115 1743 1742 196 114 95 213 114 312 63 487 345 1185 527 129 227 80 553 91 2096 295 702 362 770 454 243 254 64 555 297 239 39 138 70 477 366 48 426 522 307 508 61 56 163 100 12 39 106 182 93 36 42 72 51 32 68 108 190 126 163 58 65 25 66 57 44 55 8 10 72 566 95 95 42 90 15 38 50 34 48 689 34 57 30 56 50 90 255 26
10 ENSG00000010539.12 255 218 280 100 609 254 353 664 562 398 372 638 170 930 363 269 104 324 74 719 271 246 604 902 420 278 71 224 99 485 431 42 486 40 180 198 384 236 272 487 233 390 358 331 227 583 244 129 276 216 901 788 1082 577 467 1178 1885 1843 803 975 570 964 1531 588 787 1210 822 670 602 707 904 708 521 944 629 309 1294 402 801 961 872 1211 1553 1421 1119 1184 2151 470 1233 1228 491 615 682 1068 705 827 765 699 1073 1005 855 500 290 171 806 319 409 712 466 587 638 290 276 294 145 388 156 725 1037 390 363 205 285 219 307 268 242 173 97 85 100 646 622 111 89 122 80 106 153 227 251 1084 190 311 203 236 172 828 992 326
