gene_id	CD1_1	CD1_2	CD1_3	CD0_1	CD0_2	CD0_3	UD1_1	UD1_2	UD1_3	UD0_1	UD0_2	UD0_3
AT1G01010	1357	1305	982	1048	1940	2282	991	1963	2480	2091	3135	3161
AT1G01020	3199	3183	3313	2721	2707	3070	3404	3332	2573	2813	2951	2766
AT1G03987	5	4	7	13	1	2	16	4	5	6	5	4
AT1G01030	284	344	314	299	308	312	381	327	302	294	323	373
AT1G01040	9077	9579	9886	11382	10884	10115	13045	9801	9216	9561	8692	8555
AT1G03993	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01046	144	151	158	149	198	174	213	173	54	107	129	96
AT1G01050	8950	9544	9242	8797	8822	8202	9077	8284	8352	8594	9049	8501
AT1G03997	1	0	9	2	1	3	4	9	3	8	4	0
AT1G01060	443	485	464	808	793	717	445	533	829	467	676	439
AT1G01070	1138	1249	1063	1198	1107	1399	862	1041	1080	1277	1411	1100
AT1G04003	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01080	6116	6789	6709	7538	4314	5073	6222	4681	3972	6960	5184	4649
AT1G01090	16829	18183	17345	18351	15989	14457	18735	15876	16446	15189	14802	16600
AT1G01100	23106	23348	22915	16503	21230	21193	18872	23011	31964	19400	22201	21530
AT1G01110	563	621	633	495	837	537	632	710	792	422	675	683
AT1G01120	5565	4781	4047	5329	8167	6805	4325	5200	8386	5977	7615	14519
AT1G01130	1275	1055	1156	968	1275	1320	973	691	943	1358	1068	1037
AT1G01140	9154	10070	9422	9382	12470	12281	10447	6010	6397	13376	10978	12788
AT1G01150	61	64	85	102	57	45	96	68	38	67	37	31
AT1G01160	3643	3405	3659	3636	3984	3912	3698	3537	3386	3902	4011	3583
AT1G04007	123	93	125	111	115	136	113	105	105	112	116	115
AT1G01170	3726	3410	3334	2938	2466	2607	2799	2466	2161	3548	2651	2374
AT1G04013	39	62	48	55	31	50	85	49	18	56	26	21
AT1G01180	1620	1529	1089	1152	1734	1648	1483	1473	1178	1581	1772	1452
AT1G01183	13	7	21	13	3	8	25	5	1	7	2	5
AT1G01190	1080	1083	1047	1461	1429	1539	1556	2672	1369	1618	2298	2045
AT1G01200	115	71	73	85	116	109	108	124	213	61	180	227
AT1G01210	1795	1655	1480	1434	1519	1667	1389	1102	1435	1273	1603	1478
AT1G04017	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01220	3409	3493	3579	3259	3032	3497	3792	3781	4022	4029	4293	4067
AT1G04023	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01225	485	427	460	419	402	404	485	474	493	486	541	462
AT1G01230	4062	4052	3635	3117	3911	3853	3721	4046	4128	4164	4552	4653
AT1G01240	2840	2626	2488	2716	2674	2746	3459	2522	1736	3204	2525	2105
AT1G01250	7	22	21	54	22	40	12	5	31	26	52	76
AT1G01260	6637	5771	6017	3480	6301	6376	4160	5216	7442	4721	4993	7245
AT1G01270	14	1	5	0	1	4	0	2	12	6	0	0
AT1G01280	88	78	97	99	43	81	135	102	26	61	59	50
AT1G01290	2104	2142	2063	2156	2214	2141	2150	2191	2366	2238	2581	2406
AT1G01300	9125	8838	8518	6620	7799	7169	8988	6844	8673	6937	7457	8558
AT1G01305	67	119	123	345	118	144	186	108	22	115	125	73
AT1G01310	2986	3537	3827	6343	3110	3935	3763	2158	1151	3178	2160	1386
AT1G01320	49874	63901	69682	144812	81110	89044	78217	46677	23714	78017	52348	34033
AT1G01335	0	0	0	1	0	0	0	0	1	0	0	0
AT1G01340	7691	6751	6401	4245	7340	8442	4377	8955	8443	8200	9214	8861
AT1G01350	3814	3365	3246	3147	3847	3900	2976	3562	4767	3594	3973	3836
AT1G01355	43	42	52	32	31	30	46	40	26	37	26	19
AT1G01360	1883	1783	1468	1794	2126	1974	1940	1855	1595	1644	1912	1970
AT1G01370	434	417	392	328	348	399	393	488	528	312	406	421
AT1G01380	607	633	355	493	720	595	590	887	1193	528	946	1093
AT1G01390	278	204	223	312	225	257	256	176	274	244	175	238
AT1G01400	33	51	38	47	5	29	104	25	60	23	22	71
AT1G01410	31	43	35	45	16	33	52	24	21	34	37	19
AT1G01420	548	515	511	723	548	533	732	416	258	470	454	407
AT1G01430	2292	2450	2341	3238	2968	2485	3415	2004	2226	2542	2746	2995
AT1G01440	5369	4646	4526	3797	4358	4260	5359	4502	3802	4620	4475	4618
AT1G01448	1505	1355	1583	1294	1468	1236	1849	1473	850	1534	1298	1175
AT1G01450	0	2	0	0	4	0	0	0	0	0	0	0
AT1G01453	454	364	333	329	659	404	517	359	467	339	441	811
AT1G01460	624	556	424	342	382	531	863	385	251	466	247	268
AT1G01470	40592	34788	27798	20257	40280	39668	34764	21009	29895	32818	30142	42754
AT1G01480	802	766	603	278	510	528	682	862	1493	613	611	686
AT1G01490	14498	13768	10795	15305	14127	14283	13301	13493	16429	14161	15486	11365
AT1G01500	2662	2831	2183	1998	1830	1838	3142	2366	3273	2337	2511	2325
AT1G01510	5551	6031	6659	5881	6438	5719	6671	6493	6304	5851	6750	6520
AT1G01520	794	764	880	1746	986	702	1017	693	718	599	711	539
AT1G01530	44	63	56	65	25	36	76	65	74	40	99	41
AT1G01540	7798	7720	8031	9093	7932	7620	8998	6857	8564	7849	8230	8613
AT1G01550	48295	44430	42550	36205	42442	36881	47382	42454	42193	44045	42158	42882
AT1G01560	20925	19579	15538	8031	11349	17154	16012	24034	20452	22831	22915	18921
AT1G01570	228	207	213	221	243	248	284	290	244	318	452	429
AT1G01580	807	788	762	717	579	647	1008	1039	699	674	896	534
AT1G01590	48	40	37	75	48	35	108	43	50	58	49	113
AT1G01600	307	312	306	289	343	390	273	259	326	313	311	608
AT1G01610	4438	4154	4076	4556	4745	4450	4573	3920	6219	4968	6006	9187
AT1G01620	25613	28625	26447	28396	33052	26732	31376	35398	24061	32528	30181	32792
AT1G01630	4736	4685	4001	4052	4556	4869	4407	4819	5891	5021	6977	7755
AT1G01640	1827	1698	1645	1406	1701	1624	2201	2701	2072	1612	2286	1990
AT1G01650	13309	13414	13511	9464	11588	12673	14101	13011	12083	13177	13250	14967
AT1G04027	597	399	558	242	347	466	542	450	350	406	296	380
AT1G01660	906	586	466	585	829	1003	575	1377	1067	1143	1087	1205
AT1G01670	736	564	486	576	640	924	609	1145	898	954	1021	727
AT1G01680	2721	1591	1270	468	2209	4596	283	4198	3229	4176	5120	2538
AT1G01690	684	684	901	665	687	721	879	878	903	668	668	706
AT1G01695	151	131	194	119	154	175	151	152	165	123	89	136
AT1G04033	10	4	2	5	4	1	5	7	5	8	24	9
AT1G04037	82	106	119	89	112	98	97	81	75	110	111	100
AT1G01700	636	611	761	489	608	635	596	507	581	513	553	512
AT1G01710	6028	6227	6149	5811	5921	5994	5864	6286	5961	6862	7121	6392
AT1G01715	733	709	729	564	811	712	710	759	802	762	859	704
AT1G04043	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01720	56983	59670	58154	37272	50552	44762	71973	49891	51105	41921	33265	38896
AT1G01725	2755	2908	3355	2784	2370	2382	5000	3070	2025	2971	2113	2067
AT1G04047	2432	2810	3110	3508	2273	2567	5282	3284	2579	3204	2128	2302
AT1G01730	18090	18688	21644	15788	13891	15120	26333	17735	17868	17271	12782	13005
AT1G01740	17762	18381	23359	20256	13760	17923	28632	18849	16457	20842	15581	14447
AT1G01750	1081	919	901	708	1208	844	1069	1261	1794	802	1139	1663
AT1G04053	0	0	0	0	0	0	0	0	0	3	0	0
AT1G01760	422	640	668	629	489	464	963	725	511	587	553	636
AT1G04057	0	0	0	0	0	0	0	0	1	0	0	0
AT1G01770	5616	6415	7876	6510	5478	5390	8693	6795	4218	6818	5115	4337
AT1G01780	4315	3738	4281	2878	3021	2944	4878	3926	4572	2810	2458	3047
AT1G01790	17215	19960	21696	28950	15960	15741	24800	18140	14916	21066	16600	14783
AT1G04063	273	283	461	294	88	189	484	433	541	304	317	264
AT1G01800	9609	10028	9986	9089	10345	9529	9152	9823	9671	9689	10408	10618
AT1G01810	204	256	254	269	197	204	308	258	257	259	266	271
AT1G01820	15579	16016	14072	13860	13177	11831	16629	14166	14299	14250	13583	11849
AT1G01830	2465	2380	2322	2774	3636	3392	2338	2641	2890	2950	3370	3124
AT1G04067	6	1	6	3	4	5	4	4	4	1	11	0
AT1G01840	12	2	8	23	12	4	9	7	5	17	9	3
AT1G01860	892	987	966	1349	796	722	1232	732	565	986	833	719
AT1G04073	0	0	0	0	0	0	1	0	0	0	0	0
AT1G01870	0	0	0	0	0	0	1	1	0	0	0	2
AT1G01880	214	217	200	195	213	232	230	213	249	180	224	218
AT1G01890	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01900	412	424	488	397	359	386	434	368	429	453	464	468
AT1G04077	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01910	7638	7828	7038	6833	6819	6791	7650	7776	8049	7424	8374	7956
AT1G04083	5	4	0	0	8	1	5	9	8	0	1	6
AT1G01920	2901	3200	3926	2701	3351	3370	3540	3676	4290	3086	3807	3686
AT1G01930	1946	2140	2227	2240	2085	2052	2264	2222	2277	2216	2210	1981
AT1G01940	2505	2455	2329	1859	2038	2242	2049	2404	2743	2125	2479	2728
AT1G01950	6111	6331	7422	5708	6943	6650	6862	5952	6662	6147	5978	6799
AT1G01960	11395	13775	15180	14711	16073	14120	16288	16210	12376	16653	17857	16719
AT1G01970	2934	3004	3061	4193	2290	2602	3425	2253	2138	3188	2627	2110
AT1G01980	58	70	95	118	91	59	144	71	70	89	103	46
AT1G01990	2378	2263	2090	2041	2288	2226	2228	2121	2471	2499	2301	2268
AT1G02000	1600	1611	1477	1426	1791	1401	1771	1493	2154	1374	1742	1914
AT1G02010	1795	2025	2222	2771	2131	1991	2767	2166	1701	2125	2135	1699
AT1G02020	1686	1779	1681	2117	1824	1738	2066	1495	1639	1770	1850	1623
AT1G02030	223	258	277	295	252	224	273	255	249	235	202	226
AT1G02040	87	81	85	63	82	48	76	78	69	57	63	68
AT1G02050	1293	1413	1456	1257	1284	1287	1491	1244	1261	1165	1157	975
AT1G02060	1149	1362	1678	1644	1583	1281	1953	1604	1138	1706	1300	1260
AT1G02065	62	61	69	24	67	82	40	74	33	30	26	24
AT1G02067	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02070	102	88	79	79	74	38	85	73	87	37	57	73
AT1G02080	17181	22132	27106	26724	27774	25008	27434	27630	15946	27533	25903	23638
AT1G02090	6753	6187	5989	5127	5858	6332	5592	6322	8601	5979	6834	7136
AT1G02100	9558	8919	9406	7854	9091	8520	9626	9472	10040	8795	8428	8268
AT1G02110	3666	3963	4538	3017	3698	3384	3995	3971	4714	3143	2801	3330
AT1G02120	29839	26464	26999	22795	24515	27879	27797	30631	30408	28665	29096	26513
AT1G02130	5764	5677	5384	5149	5728	5310	6348	5473	5861	5420	5596	5798
AT1G04087	35	23	40	30	21	39	41	44	47	56	41	31
AT1G02140	14915	14512	12875	11520	14029	13656	12787	13033	14546	13637	15518	15425
AT1G02145	4157	3990	4412	3954	4012	3847	4577	4230	4048	4062	4183	3753
AT1G02150	8401	9375	9486	9956	6767	7245	9059	7110	7420	9022	7075	6382
AT1G02160	2049	2001	1754	1581	1773	1769	1969	1702	1721	1744	1962	2080
AT1G02170	7270	7014	6061	3786	6004	6556	4697	7417	9384	7507	8196	8962
AT1G02180	1019	890	1257	635	722	827	697	972	1199	908	767	865
AT1G02190	1976	1760	2316	1007	965	1367	1437	1908	2079	1552	1363	1203
AT1G02205	536	755	660	295	162	321	762	920	698	336	431	432
AT1G04093	5	3	0	1	0	0	2	3	0	0	4	1
AT1G02210	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02220	1236	898	961	763	1422	2093	468	1454	1529	1403	1734	1988
