baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G01010	2292.17603937167	0.613375301339851	0.375514711585428	1.63342548884483	0.102379539901767	0.617227727556787
AT1G01020	2957.80341281312	-0.126328311901301	0.163994388104348	-0.770320944280849	0.441109535430064	0.885893056224509
AT1G03987	6.61534345020878	-0.72880739839038	0.933515715745853	-0.780712510884815	0.434971600651066	NA
AT1G01030	331.583041576025	-0.0298540276246145	0.194023066412385	-0.153868445523695	0.877713464593324	0.985397353354084
AT1G01040	9764.77202188894	-0.255620310824152	0.19294855934241	-1.32481067334908	0.185233953846644	0.731451221186252
AT1G01046	127.614315365225	-0.402978657895236	0.50232296870859	-0.80223020446635	0.422419807458662	0.880258578454767
AT1G01050	8601.8670651361	0.0223945983121642	0.104300472345405	0.21471233838713	0.829991602287199	0.978928144660264
AT1G01060	562.357743413208	-0.203559335746952	0.322890388471766	-0.630428600586082	0.528414203324289	0.917369974210449
AT1G01070	1123.48912932362	0.340062804747146	0.188683620140065	1.80229107590107	0.0714996218478474	0.53736496125422
AT1G01080	5258.23498872401	0.181303760822384	0.265639583666093	0.682517862436802	0.4949115518467	0.90566596547667
AT1G01090	16202.1048054568	-0.132083626359928	0.139252628703393	-0.948518010681613	0.3428658082943	0.846462227498832
AT1G01100	22752.8421353101	-0.23342315297041	0.247305160601697	-0.943866890615984	0.345237673236271	0.847361259083417
AT1G01110	648.762457204187	-0.270574080717321	0.249996727542959	-1.08231049012762	0.27911458629668	0.809609098008775
AT1G01120	7640.3137803085	0.64178759212823	0.413411175166512	1.55241955389748	0.120561867688877	0.648216089522042
AT1G01130	1008.60905416096	0.411958803565483	0.234943421391333	1.75343834326523	0.0795267942195533	0.5593452391241
AT1G01140	9957.17267459015	0.705960606137036	0.269208659498783	2.62235474687703	0.00873244827002019	0.224246134167554
AT1G01150	55.9315760650869	-0.568788312406649	0.515159902279502	-1.1041005130443	0.269549538756768	0.804428112010021
AT1G01160	3669.02704075802	0.112935999151294	0.117960735845639	0.95740331171789	0.338363727553763	0.844144323095744
AT1G04007	110.486184332351	0.0850974796287613	0.213742086591862	0.398131603305875	0.690533179770349	0.956075560594259
AT1G01170	2657.78279598009	0.212000198172511	0.233702664701624	0.907136418162708	0.364334661666489	0.854683567471405
AT1G04013	42.2984753685389	-0.542505722159862	0.685857945765138	-0.790988462712416	0.428950724057449	0.882400345910585
AT1G01180	1481.69308857372	0.215348323815776	0.168128501043202	1.28085555084108	0.200244407806285	0.744686928351426
AT1G01183	7.43274772932796	-1.11994699145364	1.24803776646604	-0.897366266907851	0.369523506581803	0.856907456993568
AT1G01190	1914.37511745992	0.0851451626940342	0.309336620971687	0.275250833304432	0.783123535288579	0.973609678231121
AT1G01200	151.208832404386	0.0559218890872712	0.526793493504067	0.106155238773539	0.915459184489617	0.991066992431098
AT1G01210	1372.55654284263	0.144450759372485	0.182902427844575	0.789769502104341	0.429662393096259	0.882794375971429
AT1G01220	3979.52458080204	0.0927700799856123	0.109922537151253	0.843958685723939	0.398692492523399	0.871868176567482
AT1G01225	487.817109768213	0.0332397235715118	0.145634967305464	0.228239990618413	0.819459673766767	0.977511606213407
AT1G01230	4191.81646476578	0.165134654987827	0.1266373981144	1.30399595574958	0.192234961291309	0.736639566361881
AT1G01240	2579.66301356202	0.0287653866639869	0.313331819270478	0.0918048691350931	0.926853075392066	0.991832564735572
AT1G01250	33.4388497908261	1.66653902502288	0.750321908485242	2.22109871266761	0.0263442762210743	0.364835614340399
AT1G01260	5612.92579382963	0.00584731634943914	0.306852970798515	0.0190557592915683	0.984796623985738	0.998545210924754
AT1G01280	71.6003379769993	-0.621930868930096	0.586462473620534	-1.06047854194421	0.288926947023017	0.813156618437508
AT1G01290	2310.92635660116	0.103203954885463	0.127161245729196	0.811599118061858	0.41702169752182	0.878480305828133
AT1G01300	7872.69568429691	-0.0964482287981389	0.183275621901572	-0.526246905057217	0.598716668156619	0.936238787425383
AT1G01305	103.913212194081	-0.0056132535822228	0.675501971648268	-0.00830975158892001	0.993369853807292	0.998989114920958
AT1G01310	2287.75919500821	-0.0598139505788308	0.477529792191547	-0.125257002928182	0.900320090720879	0.988068168415802
AT1G01320	51927.86002002	0.158843390784884	0.475543472715892	0.334024962802472	0.738360721851574	0.966086870009323
AT1G01340	7979.46800259028	0.263716078717837	0.307872428104618	0.85657582376368	0.391679351633919	0.868311297068757
AT1G01350	3771.22981576772	0.0061280677422843	0.230744834381819	0.0265577678421353	0.978812457747323	0.998545210924754
AT1G01355	32.2003926316349	-0.443814159956339	0.47422812837273	-0.93586637612418	0.349341991042641	0.847635641069414
AT1G01360	1809.41985414201	0.0338634602541258	0.150715308707289	0.224684941062581	0.822224380392289	0.977511606213407
AT1G01370	422.773379117163	-0.313635222095148	0.223063021089218	-1.40603861887849	0.159712657411615	0.698935407933397
AT1G01380	868.649322458536	-0.0699064677968545	0.376058418397057	-0.185892575134549	0.852529004904214	0.98285276255724
AT1G01390	226.591696895934	-0.101446555943109	0.289603150280218	-0.350295070495436	0.726117264376252	0.964449550426411
AT1G01400	50.5199816355545	-0.699669101724733	0.700856404474229	-0.998305925804607	0.318131035012207	0.833412663631936
